hindi,english
चाहता,Wants
भूमि,Earth
नीचे,bottom
समिति,Committee
दूसरी,Second
विज्ञान,Science
साहब,Sir
रखा,Placed
कैसे,how
छोटे,Small
अच्छा,good
चित्र,picture
लगी,Started
ज्यादा,more
सा,Sa
विभाग,Department
कृषि,Agriculture
पड़ता,Has
रात,night
उत्पन्न,Generated
इसकी,his
कह,Saying
रहने,Stay
धीरे,Slow
देख,See
कौन,Who
पड़ा,Had
आई,IPhone
काल,period
स्थापित,Established
टन,Ton
महत्वपूर्ण,Significant
गांव,Village
उद्योग,Industry
हों,When
वृद्धि,Growth
लाभ,Benefit
परिवार,family
अच्छी,good
चल,Movable
प्रदान,Provided
वर्ग,category
पूर्ण,complete
पिता,Father
सामान्य,Normal
पीछे,behind
चला,walked
ई,E
नई,New
लोक,Region
आता,Comes
वहाँ,there
लेने,Take
प्रश्न,questions
मानव,human
हिन्दी,Hindi
जनता,public
अन्तर्गत,Under
जिसके,Which
साल,year
तरफ,Side
प्रमुख,Chief
हमारी,Our
समान,same
देती,Offers
भाई,brother
रंग,colour
विश्वास,believe
दिनों,Days
उपलब्ध,available
जाय,Should
भिन्न,Different
अनुभव,experience
वही,the same
रोग,Disease
सेवा,Service
उनमें,In those
संबंध,relation
समझ,understand
केन्द्र,Center
हेतु,For
समस्या,Problem
पी,P
नीति,Policy
प्रस्तुत,Submitted
बताया,Told
आपको,you
आते,Come
भाव,Emotion
आये,Came
कहना,tell
मूल्य,value
ली,Lee
मिला,met
बच्चे,children
मंत्री,Minister
सरकारी,Government
भीतर,In
देर,late
कुल,Aggregate
